id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,price_bucket,minimum_nights,number_of_reviews,reviews_per_month,last_review,value_score,calculated_host_listings_count,is_power_host,availability_365,occupancy_pct
32023,FLAT MACDONOUGH,137974,Khem,Brooklyn,Bedford-Stuyvesant,40.68296,-73.93662,Entire home/apt,125,Mid ($75-149),3,227,2.09,2019-06-23,1.816,2,Yes,163,55.3
32037,Huge Private  Floor at The Waverly,116599,Sahr,Brooklyn,Clinton Hill,40.6863,-73.96765,Private room,135,Mid ($75-149),4,84,0.77,2019-07-01,0.622,3,No,365,0.0
32100,"Modern Greenpoint, Brooklyn Apt",138579,Ali+Scott,Brooklyn,Greenpoint,40.73409,-73.95348,Entire home/apt,250,Premium ($150-299),29,3,0.03,2017-07-30,0.012,1,No,34,90.7
32289,"Sun-drenched, artsy modernist 1 BDRM duplex",139612,Elisabeth,Brooklyn,Williamsburg,40.71561,-73.94835,Entire home/apt,199,Premium ($150-299),3,10,0.1,2018-06-11,0.05,1,No,280,23.3
32331,"Sunny, Cobble Hill Apartment",139874,Sarah,Brooklyn,Cobble Hill,40.6857,-73.99183,Entire home/apt,140,Mid ($75-149),2,4,0.04,2016-04-24,0.029,1,No,0,100.0
32363,Fully Furnished Basement Apartment,140025,Fredah,Queens,Flushing,40.74028,-73.83168,Private room,140,Mid ($75-149),2,1,0.01,2011-09-19,0.007,1,No,1,99.7
32965,FLAT MACDONOUGH GARDEN,137974,Khem,Brooklyn,Bedford-Stuyvesant,40.68281,-73.93524,Entire home/apt,115,Mid ($75-149),3,124,1.72,2019-06-20,1.078,2,Yes,170,53.4
32969,Light filled Williamsburg Apartment,142833,Katherine,Brooklyn,Williamsburg,40.71596,-73.93938,Entire home/apt,160,Premium ($150-299),3,11,0.11,2019-07-02,0.069,1,No,188,48.5
33009,Retreat in Williamsburg,143027,Ming,Brooklyn,Williamsburg,40.71492,-73.95935,Entire home/apt,195,Premium ($150-299),4,240,2.19,2019-06-17,1.231,1,No,214,41.4
33014,NYC Zen,143048,Paula,Manhattan,East Village,40.72354,-73.98295,Entire home/apt,195,Premium ($150-299),3,30,0.28,2019-06-17,0.154,1,No,248,32.1
33223,Cozy BR in Wiliamsburg 3 Bedroom,72014,Lulú,Brooklyn,Williamsburg,40.71165,-73.96087,Private room,80,Mid ($75-149),3,200,1.86,2019-06-22,2.5,4,Yes,262,28.2
34760,Sunny Room in Old Historical Brooklyn Townhouse,149929,Obed,Brooklyn,Fort Greene,40.69101,-73.97312,Private room,44,Budget (<$75),8,27,1.05,2019-06-29,0.614,5,Yes,280,23.3
35526,Sun Filled Classic West Village Apt,120291,Karen,Manhattan,West Village,40.73474,-74.00101,Private room,156,Premium ($150-299),4,79,0.74,2019-06-22,0.506,1,No,307,15.9
36121,Lg Rm in Historic Prospect Heights,62165,Michael,Brooklyn,Prospect Heights,40.67386,-73.96641,Private room,85,Mid ($75-149),15,9,0.09,2013-05-10,0.106,1,No,339,7.1
36133,Classic Artist Loft Williamsburg,142684,White,Brooklyn,Williamsburg,40.71536,-73.96057,Private room,125,Mid ($75-149),3,155,1.61,2019-06-13,1.24,1,No,1,99.7
36442,Great location. Spacious on PROSPECT PARK,137432,Paz,Brooklyn,Prospect Heights,40.6741,-73.96595,Entire home/apt,115,Mid ($75-149),15,4,0.05,2018-08-27,0.035,1,No,269,26.3
36647,Private Bdrm/Bathrm. New! Elevator!,157798,Irene,Manhattan,East Harlem,40.79295,-73.93997,Private room,69,Budget (<$75),2,34,0.32,2017-05-29,0.493,1,No,10,97.3
36703,"Sunny, clean 1 bdrm in W. Village",158284,Karene,Manhattan,West Village,40.73226,-74.00401,Entire home/apt,225,Premium ($150-299),45,134,1.24,2019-03-31,0.596,1,No,312,14.5
36934,Great location in Williamsburg,159370,Viviana,Brooklyn,Williamsburg,40.71363,-73.96398,Entire home/apt,125,Mid ($75-149),6,27,0.25,2018-12-27,0.216,1,No,189,48.2
38638,Light and Airy Upper East Side 1 BDR apartment,92788,Sara,Manhattan,Upper East Side,40.77711,-73.9527,Entire home/apt,219,Premium ($150-299),4,126,1.16,2019-06-26,0.575,2,Yes,290,20.5
38663,Luxury Brownstone in Boerum Hill,165789,Sarah,Brooklyn,Boerum Hill,40.68559,-73.98094,Entire home/apt,475,Luxury ($300+),3,23,0.27,2018-12-31,0.048,1,No,230,37.0
39267,CENTRAL PARK LOFT all for YOU,168417,Marie,Manhattan,Upper East Side,40.77456,-73.95323,Entire home/apt,99,Mid ($75-149),1,234,2.6,2019-06-08,2.364,2,Yes,164,55.1
39282,Indie-Chic Share In Williamsburg,168525,Gus,Brooklyn,Williamsburg,40.71088,-73.95055,Private room,69,Budget (<$75),4,202,1.86,2019-05-28,2.928,2,Yes,53,85.5
39593,"A room w/ a Manhattan view, longer stay",110506,Myung,Queens,Sunnyside,40.74559,-73.92313,Private room,79,Mid ($75-149),30,28,0.26,2019-04-12,0.354,1,No,126,65.5
39704,"Private, Large & Sunny 1BR w/W&D",170510,Renée,Brooklyn,Bedford-Stuyvesant,40.68306,-73.94659,Entire home/apt,135,Mid ($75-149),2,309,2.86,2019-06-22,2.289,2,Yes,3,99.2
40039,Luxurious Condo in DUBMO with View,171851,Henry,Brooklyn,DUMBO,40.70207,-73.98571,Private room,250,Premium ($150-299),3,14,0.13,2011-04-25,0.056,1,No,189,48.2
40453,Charming & Cozy midtown loft any WEEK ENDS  !!!,174025,Sylvia,Manhattan,Upper East Side,40.76123,-73.9642,Entire home/apt,250,Premium ($150-299),3,4,0.08,2016-09-23,0.016,1,No,365,0.0
41348,* Spacious GARDEN Park Slope Duplex* 6 people max,180083,Syl,Brooklyn,Gowanus,40.66858,-73.99083,Entire home/apt,250,Premium ($150-299),2,80,2.17,2019-07-06,0.32,1,No,0,100.0
41513,Convenient cozy cheap apt Manhattan,181167,Lorenzo,Manhattan,Harlem,40.82704,-73.94907,Entire home/apt,80,Mid ($75-149),3,2,0.04,2015-11-02,0.025,1,No,0,100.0
42580,Parlor Room In Victorian Townhouse,137814,Waldemar,Brooklyn,Clinton Hill,40.68843,-73.96408,Private room,70,Budget (<$75),2,294,3.47,2019-06-24,4.2,3,Yes,336,7.9
42729,House On Henry (2nd FLR Suite),11481,Annette,Brooklyn,Carroll Gardens,40.6783,-74.00135,Entire home/apt,165,Premium ($150-299),2,150,1.4,2019-06-18,0.909,3,Yes,342,6.3
42882,New York room with a view,185978,Newyorkroomwithaview,Staten Island,St. George,40.64524,-74.08088,Private room,70,Budget (<$75),2,166,1.66,2019-06-13,2.371,1,No,312,14.5
43957,Sunny cozy room in Brklyn townhouse,177536,Tessa,Brooklyn,Bushwick,40.70641,-73.91765,Private room,50,Budget (<$75),2,47,0.94,2019-06-19,0.94,1,No,37,89.9
44096,Room with a View,190409,Waundell,Bronx,Highbridge,40.83232,-73.93184,Private room,40,Budget (<$75),1,219,2.04,2019-07-04,5.475,3,Yes,353,3.3
44161,Light+Open+Airy+Rustic+Modern Loft,193360,Young,Brooklyn,Williamsburg,40.71045,-73.9677,Entire home/apt,150,Premium ($150-299),2,193,1.78,2016-07-06,1.287,1,No,177,51.5
44212,West Inn 2 - East Village,72062,Bruce,Manhattan,East Village,40.72518,-73.98034,Private room,125,Mid ($75-149),1,84,0.78,2019-06-23,0.672,4,No,310,15.1
44221,Financial District Luxury Loft,193722,Coral,Manhattan,Financial District,40.70666,-74.01374,Entire home/apt,196,Premium ($150-299),3,114,1.06,2019-06-20,0.582,1,No,0,100.0
44229,BROOKLYN VICTORIAN STYLE SUITE.....,181376,Carol,Brooklyn,Fort Greene,40.69098,-73.97113,Private room,110,Mid ($75-149),2,213,2.0,2019-06-24,1.936,2,Yes,321,12.1
44288,Your own Lovely West Village Studio,193637,Sara,Manhattan,West Village,40.73756,-74.00405,Entire home/apt,170,Premium ($150-299),3,86,0.8,2019-06-01,0.506,1,No,246,32.6
44506,ACCOMMODATIONS GALORE#3. 1-5 GUESTS,126607,Laurine,Manhattan,Harlem,40.81526,-73.94791,Entire home/apt,165,Premium ($150-299),3,80,0.75,2019-05-26,0.485,3,No,231,36.7
45393,Greenwich Village Stylish Apartment,201297,Myrna,Manhattan,West Village,40.73423,-74.0046,Entire home/apt,150,Premium ($150-299),26,38,0.36,2016-04-20,0.253,1,No,225,38.4
45542,Clean and Cozy Harlem Apartment,202249,Campbell,Manhattan,Harlem,40.82374,-73.9373,Entire home/apt,100,Mid ($75-149),2,18,1.79,2018-12-17,0.18,1,No,0,100.0
45556,"Fort Greene, Brooklyn: Center Bedroom",67778,Doug,Brooklyn,Fort Greene,40.68863,-73.97691,Private room,65,Budget (<$75),2,206,1.92,2019-06-30,3.169,2,Yes,0,100.0
45910,Beautiful Queens Brownstone! - 5BR,204539,Mark,Queens,Ridgewood,40.70382,-73.89797,Entire home/apt,350,Luxury ($300+),8,10,0.11,2019-05-12,0.029,5,No,365,0.0
45936,Couldn't Be Closer To Columbia Uni,867225,Rahul,Manhattan,Morningside Heights,40.80549,-73.95924,Private room,99,Mid ($75-149),4,122,1.18,2019-05-14,1.232,2,Yes,233,36.2
45940,Bright Spacious Luxury Condo,204724,Miyoung,Brooklyn,Williamsburg,40.71627,-73.9587,Entire home/apt,200,Premium ($150-299),4,33,0.58,2019-04-08,0.165,1,No,1,99.7
46544,Park Slope haven 15 mins from Soho,8198,Monica,Brooklyn,Park Slope,40.67994,-73.97863,Entire home/apt,150,Premium ($150-299),5,52,0.5,2019-06-05,0.347,1,No,18,95.1
46723,SAFE  AND BEAUTIFUL ACCOMODATION,209460,Marylyn,Brooklyn,Bedford-Stuyvesant,40.67992,-73.9475,Private room,90,Mid ($75-149),3,126,1.17,2019-05-19,1.4,4,Yes,343,6.0
46911,Large Room in private Brownstone in Park Slope,210746,Kathleen R.,Brooklyn,Prospect Heights,40.67868,-73.97307,Private room,120,Mid ($75-149),3,51,0.48,2019-06-24,0.425,3,No,250,31.5
47199,"NEW YORK CITY, 1 BDRM.(NEAR CENTRAL PARK & METRO)",212722,Teresa,Manhattan,Upper East Side,40.76834,-73.95334,Private room,75,Mid ($75-149),3,199,1.85,2019-06-24,2.653,1,No,326,10.7
47362,"LARGE, COMFY 1BDR W/CHARACTER!!!",214148,Robert,Brooklyn,Bedford-Stuyvesant,40.68237,-73.9415,Entire home/apt,175,Premium ($150-299),26,30,0.29,2012-09-03,0.171,1,No,364,0.3
47370,Chelsea Studio sublet 1 - 2 months,214287,Alex,Manhattan,Chelsea,40.74031,-73.99999,Entire home/apt,125,Mid ($75-149),3,3,0.03,2015-07-17,0.024,1,No,0,100.0
47926,LUX APT IN TIMES SQUARE NEW BUILDING,218404,Claudia,Manhattan,Hell's Kitchen,40.76307,-73.99665,Entire home/apt,275,Premium ($150-299),1,41,0.38,2019-06-26,0.149,1,No,299,18.1
48719,Designer 1 BR Duplex w/ Terrace- Spectacular Views,221873,Shane,Manhattan,Lower East Side,40.71882,-73.98852,Entire home/apt,299,Premium ($150-299),2,109,1.04,2019-06-15,0.365,1,No,207,43.3
50447,Lovely Apt & Garden;  Legal;  Best Area; Amenities,9744,Laurie,Brooklyn,South Slope,40.6693,-73.98804,Entire home/apt,135,Mid ($75-149),5,151,1.43,2019-06-22,1.119,3,Yes,162,55.6
51438,1 Bedroom in 2 Bdrm Apt- Upper East,236421,Jessica,Manhattan,Upper East Side,40.77333,-73.95199,Private room,130,Mid ($75-149),14,0,0.0,No reviews yet,0.0,2,No,0,100.0
51485,Lower East Side $57~/night,236655,Erina,Manhattan,Lower East Side,40.72319,-73.99201,Private room,83,Mid ($75-149),1,285,2.69,2019-06-22,3.434,1,No,7,98.1
51572,Prime Location in Manhattan,237329,Lee,Manhattan,Chelsea,40.74859,-73.99671,Private room,123,Mid ($75-149),1,375,3.52,2019-06-18,3.049,1,No,328,10.1
51850,( F) Excellent/Pvt Rm,27848,Jullett,Queens,Jamaica,40.67252,-73.76597,Private room,55,Budget (<$75),2,52,0.49,2019-05-20,0.945,2,No,365,0.0
53137,"Quiet, sunny Midtown Manhattan apt.",240360,Marlaine,Manhattan,Hell's Kitchen,40.76244,-73.99271,Entire home/apt,195,Premium ($150-299),5,10,1.01,2019-07-01,0.051,1,No,0,100.0
53196,Big Room/Washer-Dryer/Wifi/AC/JMZ,247432,Charlotte,Brooklyn,Bedford-Stuyvesant,40.69546,-73.93503,Private room,80,Mid ($75-149),2,11,0.48,2017-11-13,0.138,1,No,0,100.0
53469,cozy studio with parking spot,204539,Mark,Queens,Middle Village,40.71722,-73.87856,Entire home/apt,98,Mid ($75-149),30,33,0.31,2015-05-09,0.337,5,No,240,34.2
53470,Clean and convenient 2BR apartment,204539,Mark,Queens,Ridgewood,40.70234,-73.89816,Private room,140,Mid ($75-149),7,6,0.06,2015-10-08,0.043,5,No,365,0.0
53477,3 floors of luxury!,204539,Mark,Queens,Middle Village,40.71546,-73.87854,Entire home/apt,265,Premium ($150-299),7,38,0.38,2019-04-27,0.143,5,No,365,0.0
54158,The Institute—Heart of Williamsburg,10889,Bob,Brooklyn,Williamsburg,40.7195,-73.95976,Entire home/apt,249,Premium ($150-299),2,358,3.44,2019-06-20,1.438,2,Yes,164,55.1
54453,MIDTOWN WEST - Large alcove studio,255583,Anka,Manhattan,Hell's Kitchen,40.76548,-73.98474,Shared room,105,Mid ($75-149),6,10,0.09,2014-01-07,0.095,1,No,363,0.5
54466,Beautiful Uptown Manhattan apartmnt,253385,Douglas,Manhattan,Harlem,40.80234,-73.95603,Private room,200,Premium ($150-299),30,0,0.0,No reviews yet,0.0,1,No,365,0.0
54508,Sml Rm in pr Brst  Park Sl great for Med/students,210746,Kathleen R.,Brooklyn,Prospect Heights,40.6787,-73.97262,Private room,100,Mid ($75-149),2,226,2.12,2019-06-06,2.26,3,Yes,250,31.5
54544,City Room - Private Penthouse Apt.,256161,Wayne,Manhattan,Harlem,40.81035,-73.94598,Entire home/apt,121,Mid ($75-149),1,104,1.0,2019-06-22,0.86,5,Yes,247,32.3
54626,Cozy bedroom by Yankee Stadium,190409,Waundell,Bronx,Highbridge,40.83075,-73.93058,Private room,45,Budget (<$75),1,138,1.45,2019-06-30,3.067,3,Yes,323,11.5
54860,Great apartment with private bathroom and entrance,258164,Jenny,Manhattan,East Harlem,40.79958,-73.94275,Private room,100,Mid ($75-149),5,204,1.92,2019-06-23,2.04,1,No,192,47.4
55467,Private Garden Apt • New Renovation,260709,Paul,Brooklyn,Williamsburg,40.71625,-73.93845,Entire home/apt,140,Mid ($75-149),2,253,3.04,2019-07-02,1.807,1,No,125,65.8
55498,Modern comfort in art infused landmark Brownstone,262138,Tami,Brooklyn,Bedford-Stuyvesant,40.6829,-73.93549,Private room,71,Budget (<$75),2,23,0.22,2019-07-01,0.324,1,No,91,75.1
55668,"NOHO/EAST VILLAGE, PRIVATE 1/2 BATH",88209,Jason,Manhattan,NoHo,40.72773,-73.99134,Private room,130,Mid ($75-149),2,115,1.17,2018-12-05,0.885,1,No,75,79.5
55737,Sleek & Comfortable Soho Apt,263414,Pete,Manhattan,West Village,40.72861,-74.0049,Entire home/apt,199,Premium ($150-299),5,129,1.22,2019-05-19,0.648,1,No,286,21.6
55959,Spacious Williamsburg Share w/ LOFT BED,168525,Gus,Brooklyn,Williamsburg,40.70979,-73.95162,Private room,69,Budget (<$75),4,82,1.13,2019-06-10,1.188,2,Yes,60,83.6
55982,Cozy 2 br in sunny Fort Greene apt,264928,Sally,Brooklyn,Fort Greene,40.68656,-73.97525,Private room,68,Budget (<$75),3,37,0.35,2018-12-31,0.544,1,No,0,100.0
56467,Cozy East Village Railroad 1 Bed!,267593,Leonardo,Manhattan,East Village,40.72752,-73.98432,Entire home/apt,130,Mid ($75-149),1,204,2.04,2019-07-01,1.569,1,No,192,47.4
56525,1 Bedroom Loft w/ Private Roof Deck,268014,Alex,Brooklyn,Greenpoint,40.729,-73.95829,Entire home/apt,195,Premium ($150-299),2,69,0.65,2019-06-13,0.354,1,No,58,84.1
56859,City Room - Private & Comfy Bedroom,256161,Wayne,Manhattan,Harlem,40.81219,-73.94499,Private room,64,Budget (<$75),1,192,1.84,2019-06-03,3.0,5,Yes,245,32.9
57166,Elegant NYC Pad,272006,Vasili,Queens,Ditmars Steinway,40.77185,-73.90502,Entire home/apt,140,Mid ($75-149),2,17,0.16,2019-06-17,0.121,1,No,292,20.0
57297,"Clean & bright 1BR in Cobble Hill, GREAT location!",199392,S.M.,Brooklyn,Cobble Hill,40.68926,-73.99386,Entire home/apt,159,Premium ($150-299),2,222,2.12,2019-06-24,1.396,1,No,279,23.6
57468,"Modern, Large East Village Loft",239208,Ori,Manhattan,East Village,40.72821,-73.98701,Entire home/apt,189,Premium ($150-299),3,205,1.96,2019-06-23,1.085,1,No,0,100.0
57618,"Great new apt, close to everything",274557,Ana,Manhattan,Hell's Kitchen,40.7672,-73.98508,Entire home/apt,250,Premium ($150-299),3,94,0.96,2019-06-09,0.376,1,No,3,99.2
57740,Quiet & Clean Retreat in the City,275459,I,Manhattan,East Village,40.73012,-73.99053,Entire home/apt,239,Premium ($150-299),3,7,0.07,2019-05-24,0.029,1,No,351,3.8
57754,Stylish Large Gramercy Loft!,275578,R,Manhattan,Flatiron District,40.7403,-73.98498,Entire home/apt,305,Luxury ($300+),2,108,1.09,2019-06-30,0.354,1,No,201,44.9
57874,The Brownstone-Luxury 1 Bd Apt/NYC,276291,Simon,Manhattan,Harlem,40.80931,-73.94343,Entire home/apt,155,Premium ($150-299),3,222,2.1,2019-06-26,1.432,2,Yes,232,36.4
58059,PRIVATE Room on Historic Sugar Hill,277379,Agnes,Manhattan,Harlem,40.8251,-73.94287,Private room,60,Budget (<$75),1,458,4.58,2019-07-03,7.633,2,Yes,258,29.3
58062,South Slope Green,277394,Linda,Brooklyn,Windsor Terrace,40.6585,-73.98397,Private room,135,Mid ($75-149),2,21,0.26,2019-05-17,0.156,1,No,272,25.5
58467,"17 Flr. Manhattan Views, Nr. Subway",279797,Dave,Manhattan,Roosevelt Island,40.76193,-73.9501,Private room,120,Mid ($75-149),7,17,0.3,2019-05-08,0.142,1,No,341,6.6
59014,"Spacious 1BR, Adorable Clean Quiet",282927,Drica,Manhattan,Lower East Side,40.72052,-73.98589,Entire home/apt,150,Premium ($150-299),3,41,0.39,2019-01-02,0.273,1,No,244,33.2
59121,"Nice, clean, safe, convenient 3BR",204539,Mark,Queens,Ridgewood,40.70411,-73.89934,Entire home/apt,140,Mid ($75-149),14,1,0.01,2012-09-17,0.007,5,No,365,0.0
59642,Franklin St Flat in Trendy Greenpoint Brooklyn,274782,Betty,Brooklyn,Greenpoint,40.73401,-73.95967,Entire home/apt,135,Mid ($75-149),2,69,0.67,2019-05-19,0.511,1,No,12,96.7
59709,"Artistic, Cozy, and Spacious w/ Patio! Sleeps 5",186084,Ricardo & Ashlie,Manhattan,Chinatown,40.71756,-73.99503,Entire home/apt,250,Premium ($150-299),4,18,0.18,2019-07-01,0.072,2,No,265,27.4
59855,One bedroom Apt. in NYC,288031,Leslie,Manhattan,Midtown,40.7589,-73.96991,Entire home/apt,250,Premium ($150-299),30,82,0.78,2016-01-05,0.328,1,No,0,100.0
60164,"Beautiful, elegant 3 bed SOHO loft",289653,Harrison,Manhattan,SoHo,40.72003,-74.00262,Entire home/apt,500,Luxury ($300+),4,94,0.99,2019-06-23,0.188,1,No,329,9.9
60457,Spacious Greenwich Village Apt,99212,Jessica,Manhattan,Greenwich Village,40.73194,-73.99474,Entire home/apt,225,Premium ($150-299),5,10,0.1,2019-05-11,0.044,1,No,91,75.1
60611,SpaHa Studio Monthly Rental,292204,Blanca,Manhattan,East Harlem,40.79163,-73.94573,Entire home/apt,125,Mid ($75-149),28,183,1.83,2018-09-29,1.464,2,Yes,365,0.0
60666,City Room - Private Luxury Suite,256161,Wayne,Manhattan,Harlem,40.8118,-73.94434,Private room,92,Mid ($75-149),1,189,1.82,2019-06-11,2.054,5,Yes,253,30.7
60673,Private Room/bath Luxurious Harlem,249372,Cynthia,Manhattan,Harlem,40.81583,-73.94707,Private room,175,Premium ($150-299),2,1,0.11,2018-10-07,0.006,1,No,365,0.0
60680,The gem of the East Village,292630,Mich,Manhattan,East Village,40.72654,-73.98049,Entire home/apt,99,Mid ($75-149),2,127,1.22,2019-06-20,1.283,1,No,320,12.3
60794,"Bright and spacious, garden below!",293394,Rachel,Manhattan,Upper West Side,40.80021,-73.96071,Entire home/apt,195,Premium ($150-299),4,4,0.04,2017-08-25,0.021,1,No,0,100.0
60948,ACCOMMODATIONS GALORE #2,126607,Laurine,Manhattan,East Harlem,40.80942,-73.93936,Entire home/apt,140,Mid ($75-149),3,135,1.3,2019-06-20,0.964,3,Yes,192,47.4
61167,Colorful Private One Bedroom Apt,295760,Greta,Manhattan,Little Italy,40.71961,-73.9954,Entire home/apt,135,Mid ($75-149),2,21,0.2,2015-12-12,0.156,1,No,0,100.0
61224,Huge Chelsea Loft,291112,Frank,Manhattan,Chelsea,40.74358,-74.00027,Entire home/apt,500,Luxury ($300+),2,35,0.34,2017-07-27,0.07,1,No,348,4.7
61406,Great room in great location,297176,Bethania,Manhattan,Harlem,40.80335,-73.9575,Private room,80,Mid ($75-149),14,10,2.21,2019-06-01,0.125,2,Yes,0,100.0
61492,Exclusive Room with Private Bath in  LES,297769,Tunji,Manhattan,Chinatown,40.71445,-73.9908,Private room,120,Mid ($75-149),4,171,1.8,2019-06-23,1.425,2,Yes,353,3.3
61509,"Quiet, clean midtown apt w. elevato",23619,Anna/Fonzy,Manhattan,Midtown,40.75749,-73.96897,Entire home/apt,110,Mid ($75-149),200,92,0.9,2019-04-30,0.836,1,No,140,61.6
62095,BK Sweet Suite w/Kitchen&FullBath,281764,Colette&Sean,Brooklyn,East Flatbush,40.64446,-73.9503,Entire home/apt,65,Budget (<$75),3,238,2.3,2019-06-14,3.662,1,No,2,99.5
62427,Great East Village Apartment Rental,303882,Brie,Manhattan,East Village,40.7268,-73.99079,Entire home/apt,130,Mid ($75-149),50,56,0.58,2019-05-26,0.431,1,No,56,84.7
62430,BROWNSTONE SUNDRENCHED BEAUTY,197755,Sheila,Brooklyn,Bushwick,40.688,-73.9171,Entire home/apt,99,Mid ($75-149),3,111,2.13,2019-06-22,1.121,1,No,68,81.4
62452,A SpeciaL!! Private Room in NY,303939,Lissette,Staten Island,Tompkinsville,40.63536,-74.08537,Private room,36,Budget (<$75),2,193,1.85,2019-06-25,5.361,6,Yes,360,1.4
62461,B NYC Staten Alternative...,303939,Lissette,Staten Island,Tompkinsville,40.63627,-74.08543,Private room,37,Budget (<$75),2,147,1.44,2019-06-10,3.973,6,Yes,0,100.0
62787,C Private Room By The Ferry,303939,Lissette,Staten Island,Tompkinsville,40.63518,-74.08546,Private room,37,Budget (<$75),2,177,1.71,2019-07-02,4.784,6,Yes,320,12.3
62891,Smallest House In The Village,306545,Olivia,Manhattan,East Village,40.72477,-73.98161,Entire home/apt,175,Premium ($150-299),3,185,1.78,2019-05-24,1.057,2,Yes,326,10.7
62903,Beautiful modern studio apartment in heart of NYC,306605,Daniel,Manhattan,Chelsea,40.74238,-73.99567,Entire home/apt,205,Premium ($150-299),9,62,0.7,2019-06-21,0.302,2,No,76,79.2
62925,Beautiful Landmarked Duplex,306739,Maya,Brooklyn,Greenpoint,40.72945,-73.95511,Entire home/apt,285,Premium ($150-299),3,124,1.22,2019-06-16,0.435,3,Yes,279,23.6
63299,BROOKLYN > Guest Room w/ Queen Bed in Williamsburg,308875,Scott,Brooklyn,Williamsburg,40.70763,-73.95177,Private room,59,Budget (<$75),2,181,1.77,2019-06-23,3.068,2,Yes,15,95.9
